,OPCode,Effects
0,0,Stat_AC_vs_Damage_Type_Modifier
1,1,Stat_Attacks_Per_Round_Modifier
2,2,Cure_Sleep
3,3,State_Berserking
4,4,Cure_Berserking
5,5,Charm_Charm_Specific_Creature
6,6,Stat_Charisma_Modifier
7,7,Colour_Set_character_colours_by_Palette
8,8,Colour_Change_by_RGB
9,9,Colour_Glow_Pulse
10,10,Stat_Constitution_Modifier
11,11,Cure_Poison
12,12,HP_Damage
13,13,Death_Instant_Death
14,14,Graphics_Defrost
15,15,Stat_Dexterity_Modifier
16,16,State_Haste
17,17,HP_Current_HP_Modifier
18,18,HP_Maximum_HP_Modifier
19,19,Stat_Intelligence_Modifier
20,20,State_Invisibility
21,21,Stat_Lore_Modifier
22,22,Stat_Cumulative_Luck_Modifier
23,23,Stat_Morale_Modifier
24,24,State_Horror
25,25,State_Poison
26,26,Item_Remove_Curse
27,27,Stat_Acid_Resistance_Modifier
28,28,Stat_Cold_Resistance_Modifier
29,29,Stat_Electricity_Resistance_Modifier
30,30,Stat_Fire_Resistance_Modifier
31,31,Stat_Magic_Damage_Resistance_Modifier
32,32,Cure_Death_Raise_Dead
33,33,Stat_Save_vs_Death_Modifier
34,34,Stat_Save_vs_Wands_Modifier
35,35,Stat_Save_vs_Petrification_Polymorph_Modifier
36,36,Stat_Save_vs_Breath_Weapons_Modifier
37,37,Stat_Save_vs_Spells_Modifier
38,38,State_Silence
39,39,State_Unconsciousness
40,40,State_Slow
41,41,Graphics_Sparkle
42,42,Spell_Wizard_Spell_Slots_Modifier
43,43,Cure_Stone_to_Flesh
44,44,Stat_Strength_Modifier
45,45,State_Stun
46,46,Cure_Stun_Unstun
47,47,Cure_Invisibility
48,48,Cure_Silence_Vocalize
49,49,Stat_Wisdom_Modifier
50,50,Colour_Glow_by_RGB_Brief
51,51,Colour_Strong_Dark_by_RGB
52,52,Colour_Very_Bright_by_RGB
53,53,Empty
54,54,Stat_THAC0_Modifier
55,55,Death_Kill_Creature_Type
56,56,Alignment_Invert
57,57,Alignment_Change
58,58,Cure_Dispellable_Effects_Dispel_Magic
59,59,Stat_Stealth_Modifier
60,60,Stat_Miscast_Magic
61,61,Crash
62,62,Spell_Priest_Spell_Slots_Modifier
63,63,State_Infravision
64,64,State_Remove_Infravision
65,65,Overlay_Blur
66,66,Graphics_Transparency_Fade
67,67,Summon_Creature_Summoning
68,68,Summon_Unsummon_Creature
69,69,Protection_From_Detection_Non_Detection
70,70,Cure_Non_Detection
71,71,IDS_Sex_Change
72,72,IDS_Set_IDS_State
73,73,Damage_Mod
74,74,State_Blindness
75,75,Cure_Blindness
76,76,State_Feeblemindedness
77,77,Cure_Feeblemindedness
78,78,State_Disease
79,79,Cure_Disease
80,80,State_Deafness
81,81,Cure_Deafness
82,82,Set_AI_Script
83,83,Protection_From_Projectile_Weapon
84,84,Empty_1
85,85,Empty_2
86,86,Stat_Slashing_Resistance_Modifier
87,87,Stat_Crushing_Resistance_Modifier
88,88,Stat_Piercing_Resistance_Modifier
89,89,Stat_Missiles_Resistance_Modifier
90,90,Stat_Open_Locks_Modifier
91,91,Stat_Find_Traps_Modifier
92,92,Stat_Pick_Pockets_Modifier
93,93,Stat_Fatigue_Modifier
94,94,Stat_Drunkenness_Modifier
95,95,Stat_Tracking_Skill_Modifier
96,96,Stat_Level_Change
97,97,Stat_Exceptional_Strength_Modifier
98,98,HP_Regeneration
99,99,Spell_Effect_Duration_Modifier
100,100,Protection_from_Creature_Type
101,101,Protection_from_Opcode
102,102,Spell_Immunity_by_Power_Level
103,103,Text_Change_Name
104,104,Stat_Experience_Points
105,105,Stat_Gold
106,106,Stat_Morale_Break_Modifier
107,107,Portrait_Change
108,108,Stat_Reputation
109,109,State_Hold
110,110,Empty_3
111,111,Item_Create_Magical_Weapon
112,112,Item_Remove_Item
113,113,Empty_4
114,114,Empty_5
115,115,Detect_Alignment
116,116,State_Cure_Invisibility
117,117,Spell_Effect_Reveal_Area
118,118,Empty_6
119,119,Spell_Effect_Mirror_Image
120,120,Protection_from_Weapons
121,121,Empty_7
122,122,Item_Create_Inventory_Item
123,123,Item_Remove_Inventory_Item
124,124,Spell_Effect_Teleport_Dimension_Door
125,125,Spell_Effect_Unlock_Knock
126,126,Stat_Movement_Modifier
127,127,Summon_Monster_Summoning
128,128,State_Confusion
129,129,State_Aid
130,130,State_Bless
131,131,State_Positive_Chant
132,132,State_Raise_Strength_Constitution_Dexterity_Non_Cumulative
133,133,Spell_Effect_Luck_Non_Cumulative
134,134,State_Petrification
135,135,Graphics_Polymorph_into_Specific
136,136,State_Force_Visible
137,137,State_Negative_Chant
138,138,Graphics_Character_Animation_Change
139,139,Text_Display_String
140,140,Graphics_Casting_Glow
141,141,Graphics_Lighting_Effects
142,142,Graphics_Display_Special_Effect_Icon
143,143,Item_Create_Item_in_Slot
144,144,Button_Disable_Button
145,145,Spell_Disable_Spell_Casting_Abilities
146,146,Spell_Cast_Spell_at_Creature
147,147,Spell_Learn_Spell
148,148,Spell_Cast_Spell_at_Point
149,149,Identify
150,150,Spell_Effect_Find_Traps
151,151,Summon_Replace_Creature
152,152,Spell_Effect_Play_Movie
153,153,Overlay_Sanctuary
154,154,Overlay_Entangle
155,155,Overlay_Minor_Globe
156,156,Overlay_Protection_from_Normal_Missiles_Cylinder
157,157,State_Web_Effect
158,158,Overlay_Grease
159,159,Spell_Effect_Mirror_Image_Exact_Number
160,160,Remove_Sanctuary
161,161,Cure_Horror
162,162,Cure_Hold
163,163,Protection_Free_Action
164,164,Cure_Drunkeness
165,165,Spell_Effect_Pause_Target
166,166,Stat_Magic_Resistance_Modifier
167,167,Stat_THAC0_Modifier_with_Missile_Weapons
168,168,Summon_Remove_Creature
169,169,Graphics_Prevent_Special_Effect_Icon
170,170,Graphics_Play_Damage_Animation
171,171,Spell_Give_Ability
172,172,Empty_8
173,173,Stat_Poison_Resistance_Modifier
174,174,Spell_Effect_Play_Sound_Effect
175,175,State_Hold_1
176,176,Stat_Movement_Modifier_II
177,177,Use_EFF_File
178,178,Spell_Effect_THAC0_vs_Creature_Type_Modifier
179,179,Spell_Effect_Damage_vs_Creature_Type_Modifier
180,180,Item_Can_t_Use_Item
181,181,Item_Can_t_Use_Itemtype
182,182,Item_Apply_Effect_Item
183,183,Item_Apply_Effect_Itemtype
184,184,Graphics_Passwall_Don_t_Jump
185,185,State_Hold_II
186,186,Script_MoveToArea
187,187,Script_Store_Local_Variable
188,188,Spell_Effect_Aura_Cleansing
189,189,Stat_Casting_Time_Modifier
190,190,Stat_Attack_Speed_Factor
191,191,Spell_Casting_Level_Modifier
192,192,Spell_Effect_Find_Familiar
193,193,Spell_Effect_Invisible_Detection_by_Script
194,194,Empty_9
195,195,Unknown
196,196,Unknown_1
197,197,Empty_10
198,198,Empty_11
199,199,Empty_12
200,200,Empty_13
201,201,Empty_14
202,202,Empty_15
203,203,Empty_16
204,204,Empty_17
205,205,Empty_18
206,206,Spell_Effect_Immunity_Spell
207,207,Empty_19
208,208,HP_Minimum_Limit
209,209,Empty_20
210,210,Spell_Effect_Stun_90HP
211,211,Empty_21
212,212,Empty_22
213,213,Empty_23
214,214,Empty_24
215,215,Empty_25
216,216,Empty_26
217,217,Empty_27
218,218,Protection_Stoneskin
219,219,Empty_28
220,220,Empty_29
221,221,Empty_30
222,222,Empty_31
223,223,Empty_32
224,224,Empty_33
225,225,Empty_34
226,226,Empty_35
227,227,Empty_36
228,228,Empty_37
229,229,Empty_38
230,230,Empty_39
231,231,Empty_40
232,232,Colour_Fade_from_Colour_RGB
233,233,Graphics_Icewind_Visual_Spell_Hit
234,234,HP_Cold_Damage
235,235,Graphics_Icewind_Casting_Glow
236,236,Chill_Touch
237,237,HP_Crushing_Damage
238,238,Stat_Save_vs_all
239,239,Cure_Slow_Poison
240,240,Summon_Icewind_Summoning_Spell
241,241,HP_Vampiric_Touch
242,242,Graphics_Display_Creature_Overlay
243,243,Summon_Icewind_Animate_Dead
244,244,State_Positive_Prayer
245,245,State_Negative_Prayer
246,246,Summon_Icewind_Summoning_Spell_Mixed
247,247,Beltyn_s_Burning_Blood
248,248,Summon_Summon_Shadow_Monsters
249,249,State_Positive_Recitation_state
250,250,State_Negative_Recitation
251,251,State_Hold_Lich_Touch
252,252,State_Blinded_Sol_s_Searing_Orb
253,253,Stat_AC_vs_Damage_Type_Modifier_II
254,254,Removal_Effects_specified_by_Resource
255,255,State_Salamander_Aura
256,256,Spell_Effect_Umber_Hulk_Gaze
257,257,Zombie_Lord_Aura
258,258,Protection_Immunity_Resource
259,259,Summon_Summon_Creature
260,260,Graphics_Animation_Removal
261,261,Protection_Immunity_Effect_and_Resource
262,262,Summon_Summon_Pomabs
263,263,Spell_Effect_Turn_Undead_Evil
264,264,Spell_Effect_Static_Charge
265,265,State_Cloak_of_Fear
266,266,Stat_Movement_Modifier_forced
267,267,Cure_Remove_Confusion
268,268,Spell_Effect_Eye_of_the_Mind
269,269,Spell_Effect_Eye_of_the_Sword
270,270,Spell_Effect_Eye_of_the_Mage
271,271,Spell_Effect_Eye_of_the_Venom
272,272,Spell_Effect_Eye_of_the_Spirit
273,273,Spell_Effect_Eye_of_the_Fortitude
274,274,Spell_Effect_Eye_of_the_Stone
275,275,Spell_Effect_Remove_Seven_Eyes
276,276,Spell_Effect_Remove_Effects_of_Type
277,277,HP_Magic_Damage_Soul_Eater
278,278,Spell_Effect_Shroud_of_Flame
279,279,Spell_Effect_Animal_Rage
280,280,Spell_Effect_Turn_Undead
281,281,Spell_Effect_Vitriolic_Sphere
282,282,HP_Suppress_HP_Info
283,283,Text_Float_Text
284,284,Spell_Effect_Mace_of_Disruption
285,285,State_Sleep_forced
286,286,Spell_Effect_Ranger_Tracking
287,287,Protection_Backstab
288,288,State_Set_State
289,289,Dragon_Gem_Cutscene
290,290,Protection_from_Spell_Message
291,291,Spell_Effect_Debian_s_Rod_of_Smiting
292,292,Spell_Effect_Magical_Rest
293,293,Spell_Effect_Beholder_Dispel_Magic
294,294,Spell_Effect_Harpy_Wail
295,295,Spell_Effect_Jackalwere_Gaze
296,296,Script_Set_Global_Variable
